 2016-06-09 11:23:40,730 [P254560/D3/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on WINDEV2008
 2016-06-09 11:29:28,527 [P254560/D8/T156] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-06-09 11:29:28,539 [P254560/D8/T156] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 12ms)
 2016-06-09 11:29:28,687 [P254560/D8/T19] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Terminating
 2016-06-09 11:29:28,687 [P254560/D8/T19] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Waiting for tasks to complete
 2016-06-09 11:29:28,687 [P254560/D8/T19] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2016-06-09 11:29:28,687 [P254560/D8/T19] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2016-06-09 11:29:28,687 [P254560/D8/T19] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2016-06-09 11:29:28,687 [P254560/D8/T19] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2016-06-09 11:29:28,687 [P254560/D8/T76] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
 2016-06-09 11:29:28,687 [P254560/D8/T47] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
 2016-06-09 11:29:28,687 [P254560/D8/T166] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2016-06-09 11:29:31,712 [P254560/D9/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on WINDEV2008
 2016-06-09 11:29:31,764 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-06-09 11:29:31,783 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 19ms)
 2016-06-09 11:29:31,893 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-06-09 11:29:31,923 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 30ms)
 2016-06-09 11:29:31,981 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-06-09 11:29:31,984 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 3ms)
 2016-06-09 11:29:31,985 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-06-09 11:29:31,989 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 4ms)
 2016-06-09 11:29:32,015 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-06-09 11:29:32,016 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
 2016-06-09 11:29:32,017 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-06-09 11:29:32,025 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 8ms)
 2016-06-09 11:29:32,085 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-06-09 11:29:32,086 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-06-09 11:29:32,086 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-06-09 11:29:32,086 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-06-09 11:29:34,306 [P254560/D9/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:29:34,831 [P254560/D9/T1] INFO  Epiphany.SeoMetadata.SeoMetadataStartup - Configured SeoMetadataUrlSegmentProvider
 2016-06-09 11:29:34,951 [P254560/D9/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:29:35,124 [P254560/D9/T1] INFO  Umbraco.Forms.Core.Cache.CacheEventHandler - Initializing Umbraco Forms Events to trigger Cache Refreshers
 2016-06-09 11:29:35,153 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-06-09 11:29:35,155 [P254560/D9/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 2ms)
 2016-06-09 11:29:35,713 [P254560/D9/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:29:35,758 [P254560/D9/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-06-09 11:29:35,799 [P254560/D9/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-06-09 11:29:35,801 [P254560/D9/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-06-09 11:29:35,817 [P254560/D9/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 4331ms)
 2016-06-09 11:29:37,222 [P254560/D9/T164] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://dev-liam.useconnect.co.uk:80/umbraco (UmbracoModule request)
 2016-06-09 11:29:38,529 [P254560/D9/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-06-09 11:29:38,530 [P254560/D9/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 1ms)
 2016-06-09 11:29:41,783 [P254560/D9/T168] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-06-09 11:29:41,785 [P254560/D9/T168] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 1ms)
 2016-06-09 11:29:43,632 [P254560/D9/T178] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-06-09 11:29:43,634 [P254560/D9/T178] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 1ms)
 2016-06-09 11:29:43,735 [P254560/D9/T162] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-06-09 11:29:43,737 [P254560/D9/T162] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 1ms)
 2016-06-09 11:29:43,764 [P254560/D9/T162] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-06-09 11:29:43,764 [P254560/D9/T162] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-06-09 11:29:43,769 [P254560/D9/T162] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-06-09 11:29:43,770 [P254560/D9/T162] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 0ms)
 2016-06-09 11:29:45,061 [P254560/D9/T64] INFO  Umbraco.Core.Configuration.ClientDependencyConfiguration - Updated version number from 417694163 to 244958122
 2016-06-09 11:29:45,065 [P254560/D9/T98] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2016-06-09 11:29:45,065 [P254560/D9/T98] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2016-06-09 11:29:45,067 [P254560/D9/T98] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Terminating
 2016-06-09 11:29:45,067 [P254560/D9/T98] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Waiting for tasks to complete
 2016-06-09 11:29:45,069 [P254560/D9/T149] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2016-06-09 11:29:45,069 [P254560/D9/T44] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
 2016-06-09 11:29:45,290 [P254560/D9/T98] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Terminating
 2016-06-09 11:29:45,290 [P254560/D9/T98] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Waiting for tasks to complete
 2016-06-09 11:29:45,290 [P254560/D9/T98] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2016-06-09 11:29:45,290 [P254560/D9/T98] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2016-06-09 11:29:45,290 [P254560/D9/T98] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2016-06-09 11:29:45,290 [P254560/D9/T98] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2016-06-09 11:29:45,291 [P254560/D9/T13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
 2016-06-09 11:29:45,291 [P254560/D9/T127] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Tasks completed, terminated
 2016-06-09 11:29:45,291 [P254560/D9/T13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2016-06-09 11:29:45,883 [P254560/D10/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on WINDEV2008
 2016-06-09 11:29:45,932 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-06-09 11:29:45,946 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 13ms)
 2016-06-09 11:29:46,047 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-06-09 11:29:46,080 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 32ms)
 2016-06-09 11:29:46,125 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-06-09 11:29:46,128 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
 2016-06-09 11:29:46,128 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-06-09 11:29:46,131 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 4ms)
 2016-06-09 11:29:46,157 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-06-09 11:29:46,159 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
 2016-06-09 11:29:46,159 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-06-09 11:29:46,170 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 10ms)
 2016-06-09 11:29:46,233 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-06-09 11:29:46,234 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-06-09 11:29:46,234 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-06-09 11:29:46,235 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-06-09 11:29:48,296 [P254560/D10/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:29:48,786 [P254560/D10/T1] INFO  Epiphany.SeoMetadata.SeoMetadataStartup - Configured SeoMetadataUrlSegmentProvider
 2016-06-09 11:29:48,890 [P254560/D10/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:29:49,060 [P254560/D10/T1] INFO  Umbraco.Forms.Core.Cache.CacheEventHandler - Initializing Umbraco Forms Events to trigger Cache Refreshers
 2016-06-09 11:29:49,088 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-06-09 11:29:49,091 [P254560/D10/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 2ms)
 2016-06-09 11:29:49,539 [P254560/D10/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:29:49,584 [P254560/D10/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-06-09 11:29:49,622 [P254560/D10/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-06-09 11:29:49,622 [P254560/D10/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-06-09 11:29:49,639 [P254560/D10/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 3972ms)
 2016-06-09 11:29:50,205 [P254560/D6/T151] INFO  Umbraco.Core.UmbracoApplicationBase - Application shutdown. Details: ConfigurationChange

_shutDownMessage=CONFIG change
HostingEnvironment initiated shutdown
CONFIG change
CONFIG change
CONFIG change
CONFIG change
CONFIG change
HostingEnvironment caused shutdown

_shutDownStack=   at System.Environment.GetStackTrace(Exception e, Boolean needFileInfo)
   at System.Environment.get_StackTrace()
   at System.Web.Hosting.HostingEnvironment.InitiateShutdownInternal()
   at System.Web.HttpRuntime.ShutdownAppDomain(String stackTrace)
   at System.Web.HttpRuntime.OnConfigChange(String message)
   at System.Configuration.BaseConfigurationRecord.OnStreamChanged(String streamname)
   at System.Web.DirectoryMonitor.FireNotifications()
   at System.Web.Util.WorkItem.CallCallbackWithAssert(WorkItemCallback callback)
   at System.Threading.ExecutionContext.RunInternal(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)
   at System.Threading.ExecutionContext.Run(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)
   at System.Threading.QueueUserWorkItemCallback.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem()
   at System.Threading.ThreadPoolWorkQueue.Dispatch()
 2016-06-09 11:29:50,963 [P254560/D10/T184] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://dev-liam.useconnect.co.uk:80/umbraco (UmbracoModule request)
 2016-06-09 11:29:52,780 [P254560/D10/T108] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-06-09 11:29:52,781 [P254560/D10/T108] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 1ms)
 2016-06-09 11:29:52,787 [P254560/D10/T108] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-06-09 11:29:52,788 [P254560/D10/T108] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 1ms)
 2016-06-09 11:29:53,078 [P254560/D10/T108] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-06-09 11:29:53,079 [P254560/D10/T108] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 1ms)
 2016-06-09 11:29:53,157 [P254560/D10/T108] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-06-09 11:29:53,159 [P254560/D10/T108] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 1ms)
 2016-06-09 11:29:58,710 [P254560/D8/T154] INFO  Umbraco.Core.UmbracoApplicationBase - Application shutdown. Details: ConfigurationChange

_shutDownMessage=CONFIG change
HostingEnvironment initiated shutdown
CONFIG change
CONFIG change
CONFIG change
HostingEnvironment caused shutdown

_shutDownStack=   at System.Environment.GetStackTrace(Exception e, Boolean needFileInfo)
   at System.Environment.get_StackTrace()
   at System.Web.Hosting.HostingEnvironment.InitiateShutdownInternal()
   at System.Web.HttpRuntime.ShutdownAppDomain(String stackTrace)
   at System.Web.HttpRuntime.OnConfigChange(String message)
   at System.Configuration.BaseConfigurationRecord.OnStreamChanged(String streamname)
   at System.Web.DirectoryMonitor.FireNotifications()
   at System.Web.Util.WorkItem.CallCallbackWithAssert(WorkItemCallback callback)
   at System.Threading.ExecutionContext.RunInternal(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)
   at System.Threading.ExecutionContext.Run(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)
   at System.Threading.QueueUserWorkItemCallback.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem()
   at System.Threading.ThreadPoolWorkQueue.Dispatch()
 2016-06-09 11:30:15,406 [P254560/D9/T98] INFO  Umbraco.Core.UmbracoApplicationBase - Application shutdown. Details: ConfigurationChange

_shutDownMessage=CONFIG change
HostingEnvironment initiated shutdown
CONFIG change
HostingEnvironment caused shutdown

_shutDownStack=   at System.Environment.GetStackTrace(Exception e, Boolean needFileInfo)
   at System.Environment.get_StackTrace()
   at System.Web.Hosting.HostingEnvironment.InitiateShutdownInternal()
   at System.Web.HttpRuntime.ShutdownAppDomain(String stackTrace)
   at System.Web.HttpRuntime.OnConfigChange(String message)
   at System.Configuration.BaseConfigurationRecord.OnStreamChanged(String streamname)
   at System.Web.DirectoryMonitor.FireNotifications()
   at System.Web.Util.WorkItem.CallCallbackWithAssert(WorkItemCallback callback)
   at System.Threading.ExecutionContext.RunInternal(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)
   at System.Threading.ExecutionContext.Run(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)
   at System.Threading.QueueUserWorkItemCallback.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem()
   at System.Threading.ThreadPoolWorkQueue.Dispatch()
 2016-06-09 11:30:51,419 [P254560/D10/T107] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-06-08 11:30:51
 2016-06-09 11:30:51,603 [P254560/D10/T88] INFO  umbraco.content - Load Xml from file...
 2016-06-09 11:30:51,604 [P254560/D10/T88] INFO  umbraco.content - Loaded Xml from file.
 2016-06-09 11:31:08,285 [P254560/D10/T183] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-06-09 11:31:08,287 [P254560/D10/T183] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 1ms)
 2016-06-09 11:31:09,971 [P254560/D10/T183] WARN  Umbraco.Web.PropertyEditors.PublishValueValueEditor - Could not find a pre value with ID 3 for property alias alertType
 2016-06-09 11:31:10,295 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Homepage' with Id '1159' has been published.
 2016-06-09 11:31:10,970 [P254560/D10/T183] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-06-09 11:31:10,971 [P254560/D10/T183] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 1ms)
 2016-06-09 11:31:11,233 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Help' with Id '1160' has been published.
 2016-06-09 11:31:11,368 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Developers' with Id '1161' has been published.
 2016-06-09 11:31:11,494 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'DocTypes' with Id '1162' has been published.
 2016-06-09 11:31:11,588 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Data Types' with Id '1163' has been published.
 2016-06-09 11:31:11,717 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Templates' with Id '1164' has been published.
 2016-06-09 11:31:11,820 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Partial Views' with Id '1165' has been published.
 2016-06-09 11:31:11,924 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Packages' with Id '1166' has been published.
 2016-06-09 11:31:12,045 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Code' with Id '1167' has been published.
 2016-06-09 11:31:12,171 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Macros' with Id '1168' has been published.
 2016-06-09 11:31:12,272 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Scripts' with Id '1169' has been published.
 2016-06-09 11:31:12,376 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Designers' with Id '1170' has been published.
 2016-06-09 11:31:12,491 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Templates' with Id '1171' has been published.
 2016-06-09 11:31:12,677 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'css' with Id '1172' has been published.
 2016-06-09 11:31:12,797 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Scripts' with Id '1173' has been published.
 2016-06-09 11:31:12,909 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Content' with Id '1174' has been published.
 2016-06-09 11:31:13,009 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'New' with Id '1175' has been published.
 2016-06-09 11:31:13,114 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'morehelp' with Id '1176' has been published.
 2016-06-09 11:31:13,208 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Example Content' with Id '1177' has been published.
 2016-06-09 11:31:13,334 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Content' with Id '1178' has been published.
 2016-06-09 11:31:13,438 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Contact' with Id '1179' has been published.
 2016-06-09 11:31:13,525 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Redirect' with Id '1180' has been published.
 2016-06-09 11:31:13,632 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'A Building' with Id '1181' has been published.
 2016-06-09 11:31:13,772 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Main Building' with Id '1182' has been published.
 2016-06-09 11:31:13,884 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Other Bit' with Id '1183' has been published.
 2016-06-09 11:31:13,998 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'News' with Id '1184' has been published.
 2016-06-09 11:31:14,117 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Starter Kit 6 Released' with Id '1185' has been published.
 2016-06-09 11:31:14,213 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Colours' with Id '1186' has been published.
 2016-06-09 11:31:14,306 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Events' with Id '1187' has been published.
 2016-06-09 11:31:14,441 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'UmbLiverpool' with Id '1188' has been published.
 2016-06-09 11:31:14,535 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'A to Z' with Id '1189' has been published.
 2016-06-09 11:31:14,629 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'search' with Id '1190' has been published.
 2016-06-09 11:31:14,717 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'sitemap' with Id '1191' has been published.
 2016-06-09 11:31:14,796 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Accessibility' with Id '1192' has been published.
 2016-06-09 11:31:14,892 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Privacy' with Id '1193' has been published.
 2016-06-09 11:31:14,991 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Cookies' with Id '1194' has been published.
 2016-06-09 11:31:15,078 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Site Settings' with Id '1195' has been published.
 2016-06-09 11:31:15,187 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Service Alerts' with Id '1196' has been published.
 2016-06-09 11:31:15,316 [P254560/D10/T183] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Test Service Alert' with Id '1197' has been published.
 2016-06-09 11:31:15,332 [P254560/D10/T183] WARN  Umbraco.Web.PropertyEditors.PublishValueValueEditor - Could not find a pre value with ID 3 for property alias alertType
 2016-06-09 11:31:15,334 [P254560/D10/T183] WARN  Umbraco.Web.PropertyEditors.PublishValueValueEditor - Could not find a pre value with ID 3 for property alias alertType
 2016-06-09 11:31:15,350 [P254560/D10/T183] WARN  Umbraco.Web.PropertyEditors.PublishValueValueEditor - Could not find a pre value with ID 3 for property alias alertType
 2016-06-09 11:31:19,364 [P254560/D10/T84] INFO  umbraco.content - Save Xml to file...
 2016-06-09 11:31:19,376 [P254560/D10/T76] INFO  umbraco.content - Saved Xml to file.
 2016-06-09 11:31:55,882 [P254560/D10/T182] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
